Program "PAW_quantitative_report.py" run on Tue Aug 30 08:10:49 2016

	=SUBTOTAL(109,B5:B6278)														Total	Total	Total	Total	Total	Total	Total	Total	Total	Total	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected
974	1	sp|O60711|LPXN_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/LPXN_HUMAN", "LPXN_HUMAN")		31.1	386	43332	Leupaxin OS=Homo sapiens GN=LPXN PE=1 SV=1	44	44	1.000	2	1	3	1	3	4	7	6	3	14	2	1	3	1	3	4	7	6	3	14	2.000	1.000	3.000	1.000	3.000	4.000	7.000	6.000	3.000	14.000
975	1	sp|O60716|CTND1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CTND1_HUMAN", "CTND1_HUMAN")		67.1	968	108169	Catenin delta-1 OS=Homo sapiens GN=CTNND1 PE=1 SV=1	1177	1177	1.000	84	99	91	124	130	102	112	111	199	125	84	99	91	124	130	102	112	111	199	125	84.000	99.000	91.000	124.000	130.000	102.000	112.000	111.000	199.000	125.000
976	1	sp|O60749|SNX2_HUMAN	 	 	sp|O60749|SNX2_HUMAN, sp|Q13596|SNX1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/SNX2_HUMAN", "SNX2_HUMAN")		45.1	519	58470	Sorting nexin-2 OS=Homo sapiens GN=SNX2 PE=1 SV=2	193	153	0.793	9	25	28	15	19	24	18	25	23	7	9	22	19	10	13	23	14	19	18	6	9.000	23.320	22.226	12.500	14.950	23.523	15.867	22.081	20.000	6.231
977	1	sp|O60762|DPM1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DPM1_HUMAN", "DPM1_HUMAN")		25.4	260	29634	Dolichol-phosphate mannosyltransferase subunit 1 OS=Homo sapiens GN=DPM1 PE=1 SV=1	46	46	1.000	4	4	4	6	9	2	3	1	7	6	4	4	4	6	9	2	3	1	7	6	4.000	4.000	4.000	6.000	9.000	2.000	3.000	1.000	7.000	6.000
978	1	sp|O60763|USO1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/USO1_HUMAN", "USO1_HUMAN")		54.1	962	107894	General vesicular transport factor p115 OS=Homo sapiens GN=USO1 PE=1 SV=2	526	526	1.000	46	54	72	42	42	47	54	52	63	54	46	54	72	42	42	47	54	52	63	54	46.000	54.000	72.000	42.000	42.000	47.000	54.000	52.000	63.000	54.000
979	1	sp|O60783|RT14_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RT14_HUMAN", "RT14_HUMAN")		29.7	128	15139	28S ribosomal protein S14, mitochondrial OS=Homo sapiens GN=MRPS14 PE=1 SV=1	23	23	1.000	3	1	5	2	3	0	3	2	1	3	3	1	5	2	3	0	3	2	1	3	3.000	1.000	5.000	2.000	3.000	0.000	3.000	2.000	1.000	3.000
980	1	sp|O60784|TOM1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TOM1_HUMAN", "TOM1_HUMAN")		48.8	492	53818	Target of Myb protein 1 OS=Homo sapiens GN=TOM1 PE=1 SV=2	82	82	1.000	10	11	5	11	5	11	12	5	9	3	10	11	5	11	5	11	12	5	9	3	10.000	11.000	5.000	11.000	5.000	11.000	12.000	5.000	9.000	3.000
982	1	sp|O60826|CCD22_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CCD22_HUMAN", "CCD22_HUMAN")		47.8	627	70755	Coiled-coil domain-containing protein 22 OS=Homo sapiens GN=CCDC22 PE=1 SV=1	108	108	1.000	11	13	19	6	10	11	10	13	7	8	11	13	19	6	10	11	10	13	7	8	11.000	13.000	19.000	6.000	10.000	11.000	10.000	13.000	7.000	8.000
983	1	sp|O60828|PQBP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PQBP1_HUMAN", "PQBP1_HUMAN")		53.6	265	30472	Polyglutamine-binding protein 1 OS=Homo sapiens GN=PQBP1 PE=1 SV=1	81	81	1.000	7	14	6	8	10	6	8	7	8	7	7	14	6	8	10	6	8	7	8	7	7.000	14.000	6.000	8.000	10.000	6.000	8.000	7.000	8.000	7.000
984	1	sp|O60831|PRAF2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PRAF2_HUMAN", "PRAF2_HUMAN")		23.0	178	19258	PRA1 family protein 2 OS=Homo sapiens GN=PRAF2 PE=1 SV=1	35	35	1.000	5	5	4	1	5	2	3	4	2	4	5	5	4	1	5	2	3	4	2	4	5.000	5.000	4.000	1.000	5.000	2.000	3.000	4.000	2.000	4.000
985	1	sp|O60832|DKC1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DKC1_HUMAN", "DKC1_HUMAN")		43.4	514	57673	H/ACA ribonucleoprotein complex subunit 4 OS=Homo sapiens GN=DKC1 PE=1 SV=3	195	195	1.000	17	19	27	19	20	17	14	18	26	18	17	19	27	19	20	17	14	18	26	18	17.000	19.000	27.000	19.000	20.000	17.000	14.000	18.000	26.000	18.000
986	1	sp|O60841|IF2P_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/IF2P_HUMAN", "IF2P_HUMAN")		37.4	1220	138825	Eukaryotic translation initiation factor 5B OS=Homo sapiens GN=EIF5B PE=1 SV=4	474	474	1.000	34	40	54	54	62	31	38	36	68	57	34	40	54	54	62	31	38	36	68	57	34.000	40.000	54.000	54.000	62.000	31.000	38.000	36.000	68.000	57.000
987	1	sp|O60869|EDF1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/EDF1_HUMAN", "EDF1_HUMAN")		37.2	148	16368	Endothelial differentiation-related factor 1 OS=Homo sapiens GN=EDF1 PE=1 SV=1	72	72	1.000	7	10	6	4	10	11	6	5	6	7	7	10	6	4	10	11	6	5	6	7	7.000	10.000	6.000	4.000	10.000	11.000	6.000	5.000	6.000	7.000
988	1	sp|O60879|DIAP2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DIAP2_HUMAN", "DIAP2_HUMAN")		29.4	1101	125568	Protein diaphanous homolog 2 OS=Homo sapiens GN=DIAPH2 PE=1 SV=1	118	118	1.000	11	13	23	18	22	8	4	7	10	2	11	13	23	18	22	8	4	7	10	2	11.000	13.000	23.000	18.000	22.000	8.000	4.000	7.000	10.000	2.000
989	1	sp|O60884|DNJA2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DNJA2_HUMAN", "DNJA2_HUMAN")		51.0	412	45745	DnaJ homolog subfamily A member 2 OS=Homo sapiens GN=DNAJA2 PE=1 SV=1	172	172	1.000	15	21	23	20	18	14	16	9	24	12	15	21	23	20	18	14	16	9	24	12	15.000	21.000	23.000	20.000	18.000	14.000	16.000	9.000	24.000	12.000
990	1	sp|O60885|BRD4_HUMAN	 	 	sp|O60885|BRD4_HUMAN, sp|Q15059|BRD3_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/BRD4_HUMAN", "BRD4_HUMAN")		15.3	1362	152217	Bromodomain-containing protein 4 OS=Homo sapiens GN=BRD4 PE=1 SV=2	34	30	0.882	1	2	4	7	2	1	0	4	11	2	1	1	3	7	2	0	0	4	11	1	1.000	2.000	3.429	7.000	2.000	0.500	0.000	4.000	11.000	2.000
991	1	sp|O60888|CUTA_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CUTA_HUMAN", "CUTA_HUMAN")		48.6	179	19116	Protein CutA OS=Homo sapiens GN=CUTA PE=1 SV=2	47	47	1.000	3	8	2	6	7	2	7	4	6	2	3	8	2	6	7	2	7	4	6	2	3.000	8.000	2.000	6.000	7.000	2.000	7.000	4.000	6.000	2.000
993	1	sp|O60925|PFD1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PFD1_HUMAN", "PFD1_HUMAN")		54.9	122	14210	Prefoldin subunit 1 OS=Homo sapiens GN=PFDN1 PE=1 SV=2	86	86	1.000	7	14	10	3	7	11	8	14	6	6	7	14	10	3	7	11	8	14	6	6	7.000	14.000	10.000	3.000	7.000	11.000	8.000	14.000	6.000	6.000
994	1	sp|O60927|PP1RB_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PP1RB_HUMAN", "PP1RB_HUMAN")		34.1	126	13952	Protein phosphatase 1 regulatory subunit 11 OS=Homo sapiens GN=PPP1R11 PE=1 SV=1	57	57	1.000	6	12	6	0	13	6	6	2	2	4	6	12	6	0	13	6	6	2	2	4	6.000	12.000	6.000	0.000	13.000	6.000	6.000	2.000	2.000	4.000
995	1	sp|O60934|NBN_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NBN_HUMAN", "NBN_HUMAN")		15.0	754	84958	Nibrin OS=Homo sapiens GN=NBN PE=1 SV=1	32	32	1.000	4	3	9	3	2	1	3	3	3	1	4	3	9	3	2	1	3	3	3	1	4.000	3.000	9.000	3.000	2.000	1.000	3.000	3.000	3.000	1.000
996	1	sp|O60936|NOL3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NOL3_HUMAN", "NOL3_HUMAN")		33.2	208	22629	Nucleolar protein 3 OS=Homo sapiens GN=NOL3 PE=1 SV=2	9	9	1.000	1	1	0	0	3	1	0	0	2	1	1	1	0	0	3	1	0	0	2	1	1.000	1.000	0.000	0.000	3.000	1.000	0.000	0.000	2.000	1.000
997	1	sp|O60942|MCE1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/MCE1_HUMAN", "MCE1_HUMAN")		11.6	597	68556	mRNA-capping enzyme OS=Homo sapiens GN=RNGTT PE=1 SV=1	6	6	1.000	2	1	0	0	1	1	0	0	1	0	2	1	0	0	1	1	0	0	1	0	2.000	1.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000
998	1	sp|O75027|ABCB7_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ABCB7_HUMAN", "ABCB7_HUMAN")		2.8	752	82640	ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens GN=ABCB7 PE=1 SV=2	3	3	1.000	0	0	2	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0.000	0.000	2.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000
999	1	sp|O75037|KI21B_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/KI21B_HUMAN", "KI21B_HUMAN")		1.6	1637	182660	Kinesin-like protein KIF21B OS=Homo sapiens GN=KIF21B PE=1 SV=2	4	4	1.000	1	0	2	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	1.000	0.000	2.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000
1001	1	sp|O75051|PLXA2_HUMAN	 	 	sp|O75051|PLXA2_HUMAN, sp|P51805|PLXA3_HUMAN, sp|Q9HCM2|PLXA4_HUMAN, sp|Q9UIW2|PLXA1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/PLXA2_HUMAN", "PLXA2_HUMAN")		16.6	1894	211102	Plexin-A2 OS=Homo sapiens GN=PLXNA2 PE=1 SV=4	65	63	0.969	2	3	6	5	4	6	12	12	8	7	2	3	6	5	4	5	12	12	8	6	2.000	3.000	6.000	5.000	4.000	5.833	12.000	12.000	8.000	6.857
1002	1	sp|O75063|XYLK_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/XYLK_HUMAN", "XYLK_HUMAN")		8.1	409	46432	Glycosaminoglycan xylosylkinase OS=Homo sapiens GN=FAM20B PE=1 SV=1	6	6	1.000	0	0	1	1	1	0	0	0	2	1	0	0	1	1	1	0	0	0	2	1	0.000	0.000	1.000	1.000	1.000	0.000	0.000	0.000	2.000	1.000
1003	1	sp|O75071|EFC14_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/EFC14_HUMAN", "EFC14_HUMAN")		18.8	495	55031	EF-hand calcium-binding domain-containing protein 14 OS=Homo sapiens GN=EFCAB14 PE=2 SV=1	12	12	1.000	0	0	5	1	1	0	0	4	0	1	0	0	5	1	1	0	0	4	0	1	0.000	0.000	5.000	1.000	1.000	0.000	0.000	4.000	0.000	1.000
1004	1	sp|O75083|WDR1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/WDR1_HUMAN", "WDR1_HUMAN")		81.2	606	66193	WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4	3003	3003	1.000	241	377	260	279	341	257	388	263	310	287	241	377	260	279	341	257	388	263	310	287	241.000	377.000	260.000	279.000	341.000	257.000	388.000	263.000	310.000	287.000
1005	1	sp|O75110|ATP9A_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ATP9A_HUMAN", "ATP9A_HUMAN")		8.6	1047	118581	Probable phospholipid-transporting ATPase IIA OS=Homo sapiens GN=ATP9A PE=1 SV=3	6	6	1.000	0	0	1	0	3	0	1	0	1	0	0	0	1	0	3	0	1	0	1	0	0.000	0.000	1.000	0.000	3.000	0.000	1.000	0.000	1.000	0.000
1006	1	sp|O75113|N4BP1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/N4BP1_HUMAN", "N4BP1_HUMAN")		10.5	896	100378	NEDD4-binding protein 1 OS=Homo sapiens GN=N4BP1 PE=1 SV=4	31	31	1.000	1	4	5	3	5	2	5	2	2	2	1	4	5	3	5	2	5	2	2	2	1.000	4.000	5.000	3.000	5.000	2.000	5.000	2.000	2.000	2.000
1007	1	sp|O75116|ROCK2_HUMAN	 	 	sp|O75116|ROCK2_HUMAN, sp|Q13464|ROCK1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/ROCK2_HUMAN", "ROCK2_HUMAN")		46.0	1388	160898	Rho-associated protein kinase 2 OS=Homo sapiens GN=ROCK2 PE=1 SV=4	348	303	0.871	32	29	51	24	42	29	33	28	54	26	30	26	39	23	38	27	28	23	47	22	31.622	28.516	47.830	23.821	40.492	28.459	32.000	26.710	52.875	24.933
1008	1	sp|O75122|CLAP2_HUMAN	 	 	sp|O75122|CLAP2_HUMAN, sp|Q7Z460|CLAP1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/CLAP2_HUMAN", "CLAP2_HUMAN")		19.7	1294	141131	CLIP-associating protein 2 OS=Homo sapiens GN=CLASP2 PE=1 SV=2	69	27	0.391	3	6	12	7	7	4	10	11	6	3	0	2	4	4	5	2	2	4	2	2	0.000	2.667	6.000	5.333	5.526	3.000	6.000	8.000	2.381	2.222
1009	1	sp|O75131|CPNE3_HUMAN	 	 	sp|O75131|CPNE3_HUMAN, sp|O95741|CPNE6_HUMAN, sp|Q96FN4|CPNE2_HUMAN, sp|Q9HCH3|CPNE5_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/CPNE3_HUMAN", "CPNE3_HUMAN")		48.2	537	60130	Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1	293	270	0.922	20	20	51	43	47	10	23	18	35	26	19	20	46	38	41	10	23	18	31	24	19.000	20.000	50.000	42.000	45.000	10.000	23.000	18.000	33.000	25.000
1011	1	sp|O75146|HIP1R_HUMAN	 	 	sp|O00291|HIP1_HUMAN, sp|O75146|HIP1R_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/HIP1R_HUMAN", "HIP1R_HUMAN")		46.2	1068	119387	Huntingtin-interacting protein 1-related protein OS=Homo sapiens GN=HIP1R PE=1 SV=2	219	200	0.913	12	40	32	24	27	16	17	20	20	11	11	40	30	20	23	16	17	19	17	7	11.579	40.000	31.500	22.667	26.067	16.000	17.000	19.655	18.700	9.545
1012	1	sp|O75150|BRE1B_HUMAN	 	 	sp|O75150|BRE1B_HUMAN, sp|Q5VTR2|BRE1A_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/BRE1B_HUMAN", "BRE1B_HUMAN")		27.1	1001	113649	E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens GN=RNF40 PE=1 SV=4	56	53	0.946	9	8	7	7	5	1	2	5	9	3	9	8	7	7	3	1	2	5	8	3	9.000	8.000	7.000	7.000	3.667	1.000	2.000	5.000	8.667	3.000
1013	1	sp|O75151|PHF2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PHF2_HUMAN", "PHF2_HUMAN")		6.8	1096	120774	Lysine-specific demethylase PHF2 OS=Homo sapiens GN=PHF2 PE=1 SV=4	8	8	1.000	2	1	0	0	2	0	0	2	0	1	2	1	0	0	2	0	0	2	0	1	2.000	1.000	0.000	0.000	2.000	0.000	0.000	2.000	0.000	1.000
1014	1	sp|O75152|ZC11A_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ZC11A_HUMAN", "ZC11A_HUMAN")		22.0	810	89130	Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens GN=ZC3H11A PE=1 SV=3	32	32	1.000	2	1	9	5	5	0	0	3	6	1	2	1	9	5	5	0	0	3	6	1	2.000	1.000	9.000	5.000	5.000	0.000	0.000	3.000	6.000	1.000
1015	1	sp|O75153|CLU_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CLU_HUMAN", "CLU_HUMAN")		37.1	1309	146668	Clustered mitochondria protein homolog OS=Homo sapiens GN=CLUH PE=1 SV=2	128	128	1.000	14	19	22	15	17	4	12	1	16	8	14	19	22	15	17	4	12	1	16	8	14.000	19.000	22.000	15.000	17.000	4.000	12.000	1.000	16.000	8.000
1016	1	sp|O75154|RFIP3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/RFIP3_HUMAN", "RFIP3_HUMAN")		4.6	756	82439	Rab11 family-interacting protein 3 OS=Homo sapiens GN=RAB11FIP3 PE=1 SV=1	6	6	1.000	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	2	1	3	0	0	0.000	0.000	0.000	0.000	0.000	2.000	1.000	3.000	0.000	0.000
1017	1	sp|O75155|CAND2_HUMAN	 	 	sp|O75155|CAND2_HUMAN, sp|Q86VP6|CAND1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/CAND2_HUMAN", "CAND2_HUMAN")		10.6	1236	135255	Cullin-associated NEDD8-dissociated protein 2 OS=Homo sapiens GN=CAND2 PE=1 SV=3	29	9	0.310	1	3	2	2	3	4	4	5	3	2	0	0	2	1	1	1	0	2	1	1	0.000	0.000	2.000	1.009	1.018	1.073	0.000	2.120	1.014	1.011
1018	1	sp|O75157|T22D2_HUMAN	 	 	sp|O75157|T22D2_HUMAN, sp|Q15714|T22D1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/T22D2_HUMAN", "T22D2_HUMAN")		12.8	780	79227	TSC22 domain family protein 2 OS=Homo sapiens GN=TSC22D2 PE=1 SV=3	17	15	0.882	1	2	3	1	3	0	2	1	3	1	0	2	2	1	3	0	2	1	3	1	0.000	2.000	2.667	1.000	3.000	0.000	2.000	1.000	3.000	1.000
1019	1	sp|O75165|DJC13_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/DJC13_HUMAN", "DJC13_HUMAN")		34.8	2243	254412	DnaJ homolog subfamily C member 13 OS=Homo sapiens GN=DNAJC13 PE=1 SV=5	239	239	1.000	19	28	43	23	29	19	25	25	21	7	19	28	43	23	29	19	25	25	21	7	19.000	28.000	43.000	23.000	29.000	19.000	25.000	25.000	21.000	7.000
1020	1	sp|O75167|PHAR2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PHAR2_HUMAN", "PHAR2_HUMAN")		8.4	634	69699	Phosphatase and actin regulator 2 OS=Homo sapiens GN=PHACTR2 PE=1 SV=2	9	9	1.000	0	0	2	2	2	1	0	0	2	0	0	0	2	2	2	1	0	0	2	0	0.000	0.000	2.000	2.000	2.000	1.000	0.000	0.000	2.000	0.000
1021	1	sp|O75170|PP6R2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PP6R2_HUMAN", "PP6R2_HUMAN")		22.3	966	104941	Serine/threonine-protein phosphatase 6 regulatory subunit 2 OS=Homo sapiens GN=PPP6R2 PE=1 SV=2	17	17	1.000	2	0	1	2	1	2	3	1	4	1	2	0	1	2	1	2	3	1	4	1	2.000	0.000	1.000	2.000	1.000	2.000	3.000	1.000	4.000	1.000
1022	1	sp|O75175|CNOT3_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/CNOT3_HUMAN", "CNOT3_HUMAN")		22.7	753	81871	CCR4-NOT transcription complex subunit 3 OS=Homo sapiens GN=CNOT3 PE=1 SV=1	41	41	1.000	3	8	3	4	4	4	5	1	5	4	3	8	3	4	4	4	5	1	5	4	3.000	8.000	3.000	4.000	4.000	4.000	5.000	1.000	5.000	4.000
1023	1	sp|O75179|ANR17_HUMAN	 	 	sp|O75179|ANR17_HUMAN, sp|Q8IWZ3|ANKH1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/ANR17_HUMAN", "ANR17_HUMAN")		19.4	2603	274255	Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3	103	64	0.621	8	13	12	10	10	7	10	9	16	8	6	10	7	9	1	5	5	3	13	5	7.500	12.000	10.889	9.818	2.500	6.111	10.000	9.000	16.000	8.000
1024	1	sp|O75190|DNJB6_HUMAN	 	 	sp|O75190|DNJB6_HUMAN, sp|P25686|DNJB2_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/DNJB6_HUMAN", "DNJB6_HUMAN")		18.1	326	36087	DnaJ homolog subfamily B member 6 OS=Homo sapiens GN=DNAJB6 PE=1 SV=2	15	5	0.333	2	0	1	2	6	0	0	0	1	3	1	0	0	0	3	0	0	0	0	1	2.000	0.000	0.000	1.000	6.000	0.000	0.000	0.000	0.500	3.000
1025	1	sp|O75208|COQ9_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/COQ9_HUMAN", "COQ9_HUMAN")		12.3	318	35509	Ubiquinone biosynthesis protein COQ9, mitochondrial OS=Homo sapiens GN=COQ9 PE=1 SV=1	18	18	1.000	2	2	3	1	2	0	0	2	4	2	2	2	3	1	2	0	0	2	4	2	2.000	2.000	3.000	1.000	2.000	0.000	0.000	2.000	4.000	2.000
1026	1	sp|O75223|GGCT_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/GGCT_HUMAN", "GGCT_HUMAN")		77.7	188	21007	Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1	78	78	1.000	6	17	6	6	8	4	10	9	7	5	6	17	6	6	8	4	10	9	7	5	6.000	17.000	6.000	6.000	8.000	4.000	10.000	9.000	7.000	5.000
1027	1	sp|O75251|NDUS7_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NDUS7_HUMAN", "NDUS7_HUMAN")		28.2	213	23563	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Homo sapiens GN=NDUFS7 PE=1 SV=3	34	34	1.000	0	3	6	1	6	1	5	6	3	3	0	3	6	1	6	1	5	6	3	3	0.000	3.000	6.000	1.000	6.000	1.000	5.000	6.000	3.000	3.000
1028	1	sp|O75306|NDUS2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NDUS2_HUMAN", "NDUS2_HUMAN")		50.5	463	52545	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Homo sapiens GN=NDUFS2 PE=1 SV=2	98	98	1.000	9	2	23	14	16	3	4	2	16	9	9	2	23	14	16	3	4	2	16	9	9.000	2.000	23.000	14.000	16.000	3.000	4.000	2.000	16.000	9.000
1029	1	sp|O75312|ZPR1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/ZPR1_HUMAN", "ZPR1_HUMAN")		42.3	459	50925	Zinc finger protein ZPR1 OS=Homo sapiens GN=ZPR1 PE=1 SV=1	90	90	1.000	9	15	15	4	7	6	10	12	4	8	9	15	15	4	7	6	10	12	4	8	9.000	15.000	15.000	4.000	7.000	6.000	10.000	12.000	4.000	8.000
1030	1	sp|O75323|NIPS2_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/NIPS2_HUMAN", "NIPS2_HUMAN")		32.5	286	33742	Protein NipSnap homolog 2 OS=Homo sapiens GN=GBAS PE=1 SV=1	43	43	1.000	4	7	7	3	5	2	5	4	3	3	4	7	7	3	5	2	5	4	3	3	4.000	7.000	7.000	3.000	5.000	2.000	5.000	4.000	3.000	3.000
1031	1	sp|O75335|LIPA4_HUMAN	 	 	sp|O75145|LIPA3_HUMAN, sp|O75335|LIPA4_HUMAN, sp|Q13136|LIPA1_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/LIPA4_HUMAN", "LIPA4_HUMAN")		5.4	1185	134402	Liprin-alpha-4 OS=Homo sapiens GN=PPFIA4 PE=2 SV=3	15	2	0.133	1	3	2	1	0	1	2	3	0	2	0	0	0	0	0	1	0	1	0	0	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000
1032	1	sp|O75340|PDCD6_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/PDCD6_HUMAN", "PDCD6_HUMAN")		50.8	191	21868	Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1	216	216	1.000	13	21	35	23	23	11	19	22	32	17	13	21	35	23	23	11	19	22	32	17	13.000	21.000	35.000	23.000	23.000	11.000	19.000	22.000	32.000	17.000
1033	1	sp|O75346|ZN253_HUMAN	 	 	sp|O75346|ZN253_HUMAN, sp|P59923|ZN445_HUMAN, sp|Q7L2R6|ZN765_HUMAN, sp|Q8N9Z0|ZN610_HUMAN, sp|Q96LW1|Z354B_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/ZN253_HUMAN", "ZN253_HUMAN")		9.6	499	57602	Zinc finger protein 253 OS=Homo sapiens GN=ZNF253 PE=2 SV=2	3	1	0.333	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.000	0.000	0.000	0.000	1.333	0.000	0.000	0.000	0.000	0.000
1034	1	sp|O75347|TBCA_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/TBCA_HUMAN", "TBCA_HUMAN")		63.9	108	12855	Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3	396	396	1.000	37	51	42	30	47	34	40	37	39	39	37	51	42	30	47	34	40	37	39	39	37.000	51.000	42.000	30.000	47.000	34.000	40.000	37.000	39.000	39.000
1035	1	sp|O75348|VATG1_HUMAN	 	 	 	=HYPERLINK("http://www.uniprot.org/uniprot/VATG1_HUMAN", "VATG1_HUMAN")		33.1	118	13757	V-type proton ATPase subunit G 1 OS=Homo sapiens GN=ATP6V1G1 PE=1 SV=3	98	98	1.000	8	16	12	5	11	10	13	10	7	6	8	16	12	5	11	10	13	10	7	6	8.000	16.000	12.000	5.000	11.000	10.000	13.000	10.000	7.000	6.000
1036	1	sp|O75351|VPS4B_HUMAN	 	 	sp|O75351|VPS4B_HUMAN, sp|Q9UN37|VPS4A_HUMAN	=HYPERLINK("http://www.uniprot.org/uniprot/VPS4B_HUMAN", "VPS4B_HUMAN")		55.2	444	49301	Vacuolar protein sorting-associated protein 4B OS=Homo sapiens GN=VPS4B PE=1 SV=2	243	200	0.823	23	29	42	25	26	19	23	15	26	15	19	23	34	19	23	17	18	12	23	12	21.714	27.182	39.551	23.222	25.654	18.308	21.750	13.714	24.769	14.400
